2.000 1.000 0.055 0.010 0.977 0.008
2.000 2.000 0.262 0.022 0.010 0.050
2.000 3.000 0.224 0.091 0.203 0.397
2.000 4.000 0.263 0.021 0.000 0.000
2.000 5.000 0.263 0.021 0.000 0.000
2.000 6.000 0.263 0.021 0.000 0.000
2.000 7.000 0.263 0.021 0.000 0.000
2.000 8.000 0.263 0.021 0.000 0.000
3.000 1.000 0.037 0.012 0.988 0.008
3.000 2.000 0.065 0.031 0.956 0.065
3.000 3.000 0.263 0.021 0.000 0.000
3.000 4.000 0.263 0.021 0.000 0.000
3.000 5.000 0.263 0.021 0.000 0.000
3.000 6.000 0.263 0.021 0.000 0.000
3.000 7.000 0.263 0.021 0.000 0.000
3.000 8.000 0.263 0.021 0.000 0.000
4.000 1.000 0.038 0.010 0.989 0.005
4.000 2.000 0.263 0.021 0.000 0.000
4.000 3.000 0.263 0.021 0.000 0.000
4.000 4.000 0.263 0.021 0.000 0.000
4.000 5.000 0.263 0.021 0.000 0.000
4.000 6.000 0.263 0.021 0.000 0.000
4.000 7.000 0.263 0.021 0.000 0.000
4.000 8.000 0.263 0.021 0.000 0.000
5.000 1.000 0.058 0.009 0.974 0.008
5.000 2.000 0.033 0.011 0.992 0.005
5.000 3.000 0.031 0.012 0.991 0.006
5.000 4.000 0.263 0.021 0.000 0.000
5.000 5.000 0.263 0.021 0.000 0.000
5.000 6.000 0.263 0.021 0.000 0.000
5.000 7.000 0.263 0.021 0.000 0.000
5.000 8.000 0.263 0.021 0.000 0.000
6.000 1.000 0.045 0.015 0.983 0.011
6.000 2.000 0.012 0.009 0.998 0.002
6.000 3.000 0.035 0.017 0.989 0.010
6.000 4.000 0.036 0.014 0.989 0.007
6.000 5.000 0.020 0.015 0.995 0.006
6.000 6.000 0.042 0.040 0.958 0.144
6.000 7.000 0.025 0.013 0.994 0.005
6.000 8.000 0.033 0.043 0.985 0.047
7.000 1.000 0.042 0.009 0.986 0.008
7.000 2.000 0.263 0.021 0.000 0.000
7.000 3.000 0.147 0.112 0.455 0.495
7.000 4.000 0.082 0.092 0.744 0.430
7.000 5.000 0.077 0.095 0.746 0.431
7.000 6.000 0.087 0.089 0.743 0.429
7.000 7.000 0.083 0.091 0.744 0.430
7.000 8.000 0.167 0.110 0.625 0.392
8.000 1.000 0.048 0.009 0.982 0.007
8.000 2.000 0.037 0.019 0.986 0.023
8.000 3.000 0.026 0.014 0.993 0.008
8.000 4.000 0.023 0.011 0.995 0.004
8.000 5.000 0.018 0.013 0.996 0.006
8.000 6.000 0.020 0.011 0.996 0.004
8.000 7.000 0.019 0.013 0.996 0.004
8.000 8.000 0.014 0.012 0.997 0.004
9.000 1.000 0.034 0.011 0.990 0.006
9.000 2.000 0.010 0.008 0.999 0.002
9.000 3.000 0.015 0.011 0.997 0.005
9.000 4.000 0.051 0.076 0.894 0.283
9.000 5.000 0.012 0.009 0.998 0.002
9.000 6.000 0.018 0.014 0.996 0.006
9.000 7.000 0.021 0.012 0.996 0.005
9.000 8.000 0.020 0.014 0.996 0.005
